case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
timing,0,0.0,False,2,True,False,False,False,False,False,False,0.49529,-0.0055511,0.011237,-0.10256,1,0.33465,0,,,
slow timing,0,0.0,False,3,True,True,False,False,False,True,True,0.65011,0.01864,0.00249,0.35952,2,0.81701,0,,,
selection,0,0.0,False,2,True,False,True,False,False,True,True,0.58377,0.0099438,0.011478,0.179,10,0.23998,0,,,
slow selection,0,0.0,False,4,True,True,True,False,False,False,False,0.68413,0.025519,0.0026544,0.49875,10,0.35862,0,,,
planted 0.5,0,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.77532,0.04339,0.010951,0.81977,1,0.99976,0,0.97245,0.92217,0.83225
planted 0.8,0,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.78401,0.045861,0.011058,0.75001,1,0.99967,0,0.9581,0.89039,0.7793
late slow timing,0,0.0,False,2,True,False,False,False,False,False,True,0.59186,-0.064286,0.0041699,-0.22142,1,0.26362,0,,,
rotation,0,0.0,False,2,True,False,False,False,False,False,True,0.64736,-0.0076186,0.0022842,-0.28477,2,0.06326,0,,,
binary rotation,0,0.0,False,3,True,True,False,False,False,False,True,0.71106,0.005674,0.0044467,0.13922,2,0.49549,0,,,
top sector,0,0.0,False,3,True,True,False,False,False,False,True,0.74143,0.038159,0.003946,0.31079,1,0.85817,0,,,
near benchmark,0,0.0,False,2,True,False,False,False,False,True,True,0.70306,0.00024144,0.0011736,0.019625,2,0.32597,0,,,
timing,1,0.0,False,2,True,False,False,False,False,False,True,0.5713,0.007055,0.01102,0.13688,1,0.70673,0,,,
slow timing,1,0.0,False,3,True,True,False,False,False,True,True,0.57535,0.0044391,0.0025494,0.095595,1,0.64769,0,,,
selection,1,0.0,False,2,True,False,False,False,False,False,False,0.50582,-0.0034467,0.011362,-0.062818,10,0.033458,0,,,
slow selection,1,0.0,False,3,True,True,False,False,False,False,True,0.66795,0.020583,0.0024476,0.48815,10,0.31945,0,,,
planted 0.5,1,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.86001,0.056351,0.011093,1.003,1,0.99999,0,0.99397,0.97744,0.93811
planted 0.8,1,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.85112,0.055279,0.011192,1.1011,1,1,0,0.99944,0.99709,0.98925
late slow timing,1,0.0,False,2,True,False,False,False,False,False,True,0.86234,-0.0031655,0.0038842,-0.024535,1,0.47153,0,,,
rotation,1,0.0,False,2,True,False,False,False,False,False,True,0.64478,-0.0080237,0.002542,-0.30977,2,0.07029,0,,,
binary rotation,1,0.0,False,2,True,False,False,False,False,False,True,0.6927,0.0028496,0.0036693,0.064587,2,0.38941,0,,,
top sector,1,0.0,False,2,True,False,False,False,False,False,False,0.61668,0.0070719,0.0038514,0.06765,1,0.59396,0,,,
near benchmark,1,0.0,False,3,True,True,False,False,False,True,True,0.71026,0.0014707,0.0010849,0.11323,2,0.44748,0,,,
timing,2,0.0,False,2,True,False,False,False,False,False,False,0.39098,-0.024153,0.011518,-0.44308,1,0.015524,0,,,
slow timing,2,0.0,False,2,True,False,False,False,False,False,True,0.43365,-0.021563,0.0023364,-0.4787,1,0.020906,0,,,
selection,2,0.0,False,2,True,False,False,False,False,False,True,0.47994,-0.0078466,0.010796,-0.14773,10,0.01342,0,,,
slow selection,2,0.0,False,3,True,True,False,False,False,False,False,0.62981,0.013678,0.0023447,0.3296,10,0.38867,0,,,
planted 0.5,2,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.66306,0.025979,0.011538,0.45525,1,0.98047,0,0.5651,0.36907,0.21447
planted 0.8,2,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.80323,0.049548,0.011363,0.90013,1,0.99991,0,0.98609,0.95602,0.89503
late slow timing,2,0.0,False,2,True,False,False,False,False,False,True,0.68899,-0.029188,0.0034243,-0.1234,1,0.35192,0,,,
rotation,2,0.0,False,2,True,False,False,False,False,False,True,0.69833,0.0014134,0.0025765,0.055617,2,0.30438,0,,,
binary rotation,2,0.0,False,3,True,True,False,False,False,False,False,0.71837,0.007127,0.0034889,0.1716,2,0.52668,0,,,
top sector,2,0.0,False,2,True,False,False,False,False,False,True,0.32451,-0.049836,0.0035921,-0.38125,1,0.14848,0,,,
near benchmark,2,0.0,False,3,True,True,False,False,False,True,False,0.71482,0.0022157,0.001081,0.1744,2,0.50775,0,,,
timing,3,0.0,False,2,True,False,False,False,False,False,True,0.44868,-0.013638,0.01095,-0.24841,1,0.12801,0,,,
slow timing,3,0.0,False,3,True,True,False,True,False,False,False,0.6329,0.014535,0.0024964,0.31698,1,0.91053,0,,,
selection,3,0.0,False,2,True,False,False,False,False,False,True,0.46175,-0.011374,0.01108,-0.20887,10,0.0062,0,,,
slow selection,3,0.0,False,3,True,True,False,False,False,True,True,0.62004,0.012399,0.0024904,0.27586,11,0.29553,0,,,
planted 0.5,3,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.74007,0.032427,0.010793,0.59493,1,0.99636,0,0.86917,0.73499,0.56932
planted 0.8,3,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.81175,0.050169,0.011439,0.95259,1,0.99998,0,0.99397,0.97849,0.94261
late slow timing,3,0.0,False,2,True,False,False,False,False,False,True,0.68543,0.009432,0.0033396,0.03999,1,0.54182,0,,,
rotation,3,0.0,False,2,True,False,False,False,False,False,True,0.6716,-0.0029531,0.0025279,-0.10465,2,0.19161,0,,,
binary rotation,3,0.0,False,2,True,False,False,False,False,False,False,0.67477,-0.00073491,0.0044009,-0.017528,2,0.28036,0,,,
top sector,3,0.0,False,6,True,True,True,True,True,False,False,0.97422,0.073837,0.0033051,0.69541,2,0.97973,1,,,
near benchmark,3,0.0,False,2,True,False,False,False,False,True,True,0.66503,-0.0060463,0.0010791,-0.44505,2,0.0172,0,,,
timing,4,0.0,False,2,True,False,False,False,False,False,True,0.43702,-0.015625,0.011,-0.27688,1,0.12187,0,,,
slow timing,4,0.0,False,2,True,False,False,False,False,False,True,0.48444,-0.012329,0.002896,-0.22374,1,0.16271,0,,,
selection,4,0.0,False,2,True,False,True,False,False,True,True,0.56496,0.0065472,0.01125,0.11988,10,0.12318,0,,,
slow selection,4,0.0,False,4,True,True,True,False,False,False,True,0.66592,0.021242,0.0026193,0.4446,10,0.30076,0,,,
